id,detil,title,avgprice,comments,avgscore,fornting,address
ba39ef8db97cbcfadf4eb1eebab4d785,http://e.meituan.com/meishi/2512503/,品味江湖（梦山店）,51,80,4,http://p1.meituan.net/600.600/deal/1bdea6e49b9897a3800ada0d9dc58dd1266855.jpg,鼓楼区西环北路湖滨新城8号店面（近北梦山路）
d39e2285c8a89636e2485ad33604b83c,http://e.meituan.com/meishi/1877068/,盛港海鲜吧（五四路店）,94,5,4,http://p0.meituan.net/600.600/bbia/1e65585edbc5cbdb0a83ee5d17da2af8219551.jpg,鼓楼区五四北路省体育中心国色天香273-7（近省体育中心）
ba7812bf39ac016cd2ca6d8873f68e4f,http://e.meituan.com/meishi/62799142/,桂小厨（东二环泰禾店）,85,1711,5,https://img.meituan.net/600.600/msmerchant/0cb092ff20dc9c717c7b315aa12208dd2878671.jpg,晋安区岳峰镇竹屿路6号泰禾城市广场22号楼L502
1d3ac967e1f2d82bbbd5e253c6122be5,http://e.meituan.com/meishi/71850331/,豆花新语（东二环泰禾店）,18,172,3,https://img.meituan.net/600.600/msmerchant/b63b4053a49e352931dc2ac8c7d309ee157419.jpg,晋安区连江北路东二环泰禾广场18号楼109店（港轩茶餐厅斜对面）
9845ec8913b02e5bc472698d24752c07,http://e.meituan.com/meishi/4730014/,安德鲁森（莱茵城店）,14,170,5,http://p0.meituan.net/600.600/mogu/38814d17424817e932f851bff574981536264.jpg,仓山区则徐大道金辉莱茵城03号04店面
324b144b3b53b9ea2f77dd0371d10f24,http://e.meituan.com/meishi/1877793/,大丰收鱼庄（长山湖店）,87,554,3,http://p0.meituan.net/600.600/deal/__7628536__7491944.jpg,长乐市中心城区航城街道广场路39号长山湖购物广场负一层
7caafbf09f297acf9a18b45f4d2dc90e,http://e.meituan.com/meishi/40911903/,醉得意（省府店）,31,513,4,http://p1.meituan.net/600.600/bbia/45caa619629e53433aff3657fedbd7cf1254028.jpg,鼓楼区省府路50号B座综合二层2#店（85度c面包店旁）
367013676a618f7b2867996f016991d7,http://e.meituan.com/meishi/42830159/,巧媳妇中式简餐,15,247,4,http://p0.meituan.net/600.600/poi/b5ee0e07460896b882e092d14d10a54473728.jpg,长乐市中心城区六平路阿伟美发旁
78e1e8cb2479c49f4d125e61a3a24777,http://e.meituan.com/meishi/4519571/,ALOKA OYSTER BAR阿罗卡蚝门料理,240,55,5,https://img.meituan.net/600.600/msmerchant/87560d2b63b212a5185ad2c56a93f56a1196107.jpg,鼓楼区新权南路12号金福商厦1号店面（香格里拉酒店斜对面）
85bfa920b4103e7d24abb3178d763277,http://e.meituan.com/meishi/66899759/,一品蒸鲜（东二环泰禾店）,117,489,4,https://img.meituan.net/600.600/msmerchant/0b66631d2cda6c67c88cee29c5bed46b119257.png,晋安区东二环泰禾广场22号楼综合体L507
